id,more_info_url,status,title,url
79,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/nurses-index,Not digitised,Registers of Nurses,https://www.records.nsw.gov.au/searchhits_nocopy?id=79&surname=%25&firstname=&type%20of%20nurse=&date%20of%20registration=
31,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/police-service-registers,Not digitised,Registers of Police,https://www.records.nsw.gov.au/searchhits_nocopy?id=31&surname=%25&firstname=&nativeof=&dateappointed=
69,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/publicans-licenses-index,Not digitised,Publicans Licenses,https://www.records.nsw.gov.au/searchhits_nocopy?id=69&surname=%25&firstname=&hotel=&locality=&year=&remarks=
40,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/criminal-depositions-deposition-books-index,Not digitised,Index to Deposition Registers,https://www.records.nsw.gov.au/searchhits_nocopy?id=40&surname=%25&firstname=&place%20of%20committal=&committed%20for%20trial%20at=&date%20of%20committal=&alleged%20offence=
25,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/quarter-sessions-cases,Not digitised,"Index to Quarter Sessions cases, 1824-37",https://www.records.nsw.gov.au/searchhits_nocopy?id=25&surname=%25&firstname=&place=
8,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/australian-railway-supply-detachment,Fully digitised,Australian Railway Supply Detachment,https://www.records.nsw.gov.au/searchhits_nocopy?id=8&surname=%25&firstname=
7,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/nominal-roll-the-first-railway-section-aif,Not digitised,Nominal Roll of the First Railway Section (AIF),https://www.records.nsw.gov.au/searchhits_nocopy?id=7&surname=%25&othernames=&age=&address=
50,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/railway-employment-records,Not digitised,Railway Employment Records,https://www.records.nsw.gov.au/searchhits_nocopy?id=50&surname=%25&firstname=&first%20position%20listed=&date%20of%20first%20position%20listed=
46,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/railways-and-tramways-roll-honour,Not digitised,NSW Govt Railways and Tramways - Roll of Honour - 1914-1919,https://www.records.nsw.gov.au/searchhits_nocopy?id=46&surname=%25&firstname=&branch=&military%20unit=
73,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/school-teachers-rolls,Not digitised,Teachers Rolls,https://www.records.nsw.gov.au/searchhits_nocopy?id=73&surname=%25&firstname=&remarks=
32,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/schools-and-related-records,Not digitised,Schools,https://www.records.nsw.gov.au/searchhits_nocopy?id=32&school=%25&date=&item=&remarks=
81,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/unemployed-sydney,Fully digitised,Unemployed in Sydney 1866,https://www.records.nsw.gov.au/searchhits_nocopy?id=81&Surname=%25&Firstname=&Residence=&Occupation=
