"Index on Occupants on Aboriginal Reserves, 1875 to 1904","https://www.records.nsw.gov.au/searchhits_nocopy?id=47&surname=%25&firstname=&location="
"Colonial Secretary Main series of letters received,1826-1982","https://www.records.nsw.gov.au/searchhits_nocopy?id=45&year=%25&title=&place=&minister=&church="
"Indigenous Colonial Court Cases 1788-1838","https://www.records.nsw.gov.au/searchhits_nocopy?id=1&names=%25&offence=&date%20of%20trial=&where%20tried="
"Government Architect","https://www.records.nsw.gov.au/searchhits_nocopy?id=64&place=%25&description=&date=&remarks=&recordtype=0"
"NSW Chemists and Druggists","https://www.records.nsw.gov.au/searchhits_nocopy?id=72&surname=%25&firstname=&date%20of%20registration=&residence="
"King’s and Queen’s Counsel Appointments","https://www.records.nsw.gov.au/searchhits_nocopy?id=83&surname=%25&firstname=&year%20appointed%20silk="
"Registers of Police","https://www.records.nsw.gov.au/searchhits_nocopy?id=31&surname=%25&firstname=&nativeof=&dateappointed="
"Publicans Licenses","https://www.records.nsw.gov.au/searchhits_nocopy?id=69&surname=%25&firstname=&hotel=&locality=&year=&remarks="
"Railway Employment Records","https://www.records.nsw.gov.au/searchhits_nocopy?id=50&surname=%25&firstname=&first%20position%20listed=&date%20of%20first%20position%20listed="
"Teachers Rolls","https://www.records.nsw.gov.au/searchhits_nocopy?id=73&surname=%25&firstname=&remarks="
"FieldBooks","https://www.records.nsw.gov.au/searchhits_nocopy?id=17&surname=%25&firstname=&locality="
"Unemployed in Sydney 1866","https://www.records.nsw.gov.au/searchhits_nocopy?id=81&surname=%25&firstname=&occupation="
"Assisted Immigrants","https://www.records.nsw.gov.au/searchhits_nocopy?id=9&surname=%25&firstname=&ship=0&year=&arriving=0&remarks="
"Index to Miscellaneous Immigrants","https://www.records.nsw.gov.au/searchhits_nocopy?id=55&surname=%25&firstname=&ship=&date="
"Index to the Unassisted Arrivals NSW 1842-1855","https://www.records.nsw.gov.au/searchhits_nocopy?id=43&names=%25&ship=&date%20of%20arrival=&origin%20port="
"Index to Vessels Arrived, 1837 - 1925","https://www.records.nsw.gov.au/searchhits_nocopy?id=49&ship%20name=%25&year=&month=0"
"Government Asylums for the Infirm and Destitute","https://www.records.nsw.gov.au/searchhits_nocopy?id=80&surname=%25&firstname=&institution=0"
"Child Care and Protection","https://www.records.nsw.gov.au/searchhits_nocopy?id=74&surname=%25&firstname=&committal%20date=&institution=0&remarks="
"Bench of Magistrates cases, 1788-1820","https://www.records.nsw.gov.au/searchhits_nocopy?id=11&surname=%25&firstname=&charge%20or%20nature%20of%20document=&date="
"Court of Civil Jurisdiction index","https://www.records.nsw.gov.au/searchhits_nocopy?id=42&plaintiff=%25&defendant=&date="
"Criminal Court Records index 1788-1833","https://www.records.nsw.gov.au/searchhits_nocopy?id=57&names=%25&offence=&date="
"Index to Deposition Registers","https://www.records.nsw.gov.au/searchhits_nocopy?id=40&surname=%25&firstname=&place%20of%20committal=&committed%20for%20trial%20at=&date%20of%20committal=&alleged%20offence="
"Criminal Indictments, 1863-1919","https://www.records.nsw.gov.au/searchhits_nocopy?id=86&Surname=%25&Firstname=&Alias=&Offence=&Where%20Tried&Date%20of%20Trial"
"Governor’s Court Case Papers, 1815-1824","https://www.records.nsw.gov.au/searchhits_nocopy?id=76&surname=%25&firstname=&year=&item%20no=&case%20no=&series%20no="
"Index to Quarter Sessions cases, 1824-37","https://www.records.nsw.gov.au/searchhits_nocopy?id=25&surname=%25&firstname=&place="
"Bankruptcy Index","https://www.records.nsw.gov.au/searchhits_nocopy?id=59&surname=%25&firstname=&date%20of%20trial=&occupation=&date%20of%20sequestration=&business="
"Insolvency Index","https://www.records.nsw.gov.au/searchhits_nocopy?id=10&surname=%25&firstname=&locality=&occupation=&sequestration=&business="
"Index to Registers of Firms","https://www.records.nsw.gov.au/searchhits_nocopy?id=48&name%20of%20firm=%25&nature%20of%20business=&place%20of%20business=&person%20carrying%20on%20business=&additional%20people%20in%20business="
"Index to 1841 Census","https://www.records.nsw.gov.au/searchhits_nocopy?id=18&surname=%25&firstname=&residence="
"Registers of Nurses","https://www.records.nsw.gov.au/searchhits_nocopy?id=79&surname=%25&firstname=&type%20of%20nurse=&date%20of%20registration="
"CSreLand","https://www.records.nsw.gov.au/searchhits_nocopy?id=14&surname=%25&firstname=&1stdate=&remarks="
"Convict Index","https://www.records.nsw.gov.au/searchhits_nocopy?id=65&surname=%25&firstname=&alias=&remarks=&recordtype=0&vessel=0&year="
"Early Convict Index","https://www.records.nsw.gov.au/searchhits_nocopy?id=77&surname=%25&firstname=&alias=&tried_at=0&county=0&tried%20when=0&sentence=0&ship=0&ship%20page=&remarks="
"Index to convict exiles, 1846-50","https://www.records.nsw.gov.au/searchhits_nocopy?id=20&surname=%25&firstname=&ship=&trialshire=&trialcity%2Ftown=&tldistrict="
"Convicts Applications to Marry 1825-51","https://www.records.nsw.gov.au/searchhits_nocopy?id=68&applicant%20%28male%29=%25&ship%20%28male%29=&applicant%20%28female%29=&ship%20%28female%29=&date%20of%20permission=&place="
"Coroners Inquests 1796-1824","https://www.records.nsw.gov.au/searchhits_nocopy?id=61&surname=%25&firstname=&date=&remarks="
"Index to Gaol Photographs","https://www.records.nsw.gov.au/searchhits_nocopy?id=84&surname=%25&firstname=&birthplace=&dateofphoto=&gaol=&photono=&startdate=&enddate="
"Deceased Estates","https://www.records.nsw.gov.au/searchhits_nocopy?id=15&surname=%25&firstname=&locality=&dateofdeath=&datedutypaid="
"Index to Intestate Estate Case Papers","https://www.records.nsw.gov.au/searchhits_nocopy?id=53&surname=%25&firstname=&alias=&number=&district=&location="
"Index to Early Probate Records","https://www.records.nsw.gov.au/searchhits_nocopy?id=52&surname=%25&firstname=&date="
"Divorce Index","https://www.records.nsw.gov.au/searchhits_nocopy?id=16&surname=%25&firstname=&respondent%20surname=&respondent%20firstname=&co-respondent%20surname=&co-respondent%20firstName=&year="
"Schools","https://www.records.nsw.gov.au/searchhits_nocopy?id=32&school=%25&date=&item=&remarks="
"Register of Auriferous Leases","https://www.records.nsw.gov.au/searchhits_nocopy?id=63&surname=%25&firstname=&company=&location%20of%20lease=&date%20of%20application=&remarks="
"Index to Court of Claims","https://www.records.nsw.gov.au/searchhits_nocopy?id=54&surname=%25&firstname=&first%20possessor%20of%20land=&address="
"Depasturing Licenses","https://www.records.nsw.gov.au/searchhits_nocopy?id=67&names=%25&offence=&date%20of%20trial="
"LandGrants","https://www.records.nsw.gov.au/searchhits_nocopy?id=78&surname=%25&firstname=&district%2Flocality=&years="
"Closer and Soldier Settlement Transfer Files","https://www.records.nsw.gov.au/searchhits_nocopy?id=41&surname=%25&firstname=&residence%20of%20owner=&settlement%20purchase%20area=&county=&parish="
"Index to Closer Settlement Promotion","https://www.records.nsw.gov.au/searchhits_nocopy?id=60&surname=%25&firstname=&vendors%20surname=&vendors%20first%20name=&land%20district=&estate%2Ffarm%20name=&previous%20system%20number=&csp%20no="
"Closer Settlement Transfer Registers, NRS 8082","https://www.records.nsw.gov.au/searchhits_nocopy?id=62&surname=%25&firstname=&surname%20of%20transferee=&firstname%20of%20transferee=&name%20of%20estate=&settlement%20purchase%20no=&land%20district=&date%20of%20transfer="
"Returned Soldier Settlement Loan Files","https://www.records.nsw.gov.au/searchhits_nocopy?id=75&surname=%25&firstname=&land%20district="
"Returned Soldiers Settlement Misc files 1916-25","https://www.records.nsw.gov.au/searchhits_nocopy?id=56&surname=%25&firstname=&class%20of%20holding=&land%20district="
"Registers of Settlement Purchases","https://www.records.nsw.gov.au/searchhits_nocopy?id=58&surname=%25&firstname=&land%20district=&date%20of%20selection="
"Index to Squatters and Graziers","https://www.records.nsw.gov.au/searchhits_nocopy?id=70&surname=%25&firstname=&station=&date=&description="
"List of Maps and Plans (and Supplement)","https://www.records.nsw.gov.au/searchhits_nocopy?id=33&and%20supplement%20%28sa%20item%29=%25&sg%20map=&surname=&area=&description=&date="
"Surveyor General - Letters received 1822-55","https://www.records.nsw.gov.au/searchhits_nocopy?id=35&surname=%25&firstname=&locality="
"Australian Railway Supply Detachment","https://www.records.nsw.gov.au/searchhits_nocopy?id=8&surname=%25&firstname="
"Nominal Roll of the First Railway Section (AIF)","https://www.records.nsw.gov.au/searchhits_nocopy?id=7&surname=%25&othernames=&age=&address="
"NSW Government Employees Granted Military Leave, 1914-1918","https://www.records.nsw.gov.au/searchhits_nocopy?id=82&surname=%25&firstname=&position=&department=&branch=&status=&military%20unit=&remarks="
