Surname,Firstname,NRS,Box number,Folder number,Full Name,Year appointed silk,Date of correspondence,file number,page number,Digital ID,Archives Investigator link,Digital ID url
,,NRS302_333,10/42917B,[42],King's Counsel 1942-1946,,01 Mar 1946,GAC.KD.46/1565.AGB,22,NRS302_333_a127_10_42917_[42]_00022,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[42]_00022
,,NRS302_333,10/42918,[13],Calender 1915,,01 Apr 1915,,1,NRS302_333_a127_10_42918_[13]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00001
,,NRS302_333,10/42918,[13],The Sunday Sun,,20 Feb 1916,,19,NRS302_333_a127_10_42918_[13]_00019,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00019
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,01 May 1907,7/3017,1,NRS302_333_a127_10_42918_[07]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00001
,,NRS302_333,10/42918,[5],Receipt of a list of King's Counsel,,07 Jun 1905,5/8330,1,NRS302_333_a127_10_42918_[05]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00001
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,24 Feb 1904,4/1471,1,NRS302_333_a127_10_42918_[04]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00001
,,NRS302_333,10/42918,[7],Note re removal of papers,,,4/2788 04/3399,2,NRS302_333_a127_10_42918_[07]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00002
,,NRS302_333,10/42918,[6],Resolutions passed Council of the Bar,,19 Feb 1904,,2,NRS302_333_a127_10_42918_[06]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[06]_00002
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,19 Feb 1904,4/1471,2,NRS302_333_a127_10_42918_[04]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00002
,,NRS302_333,10/42918,[7],List of papers on file,,01 Jan 1907,,3,NRS302_333_a127_10_42918_[07]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00003
,,NRS302_333,10/42917A,[8],Appointment of King's Counsel 1931 - request for information,,11 Sep 1931,31/6991,,NRS302_333_a127_10_42917_[08]_00001a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[08]_00001a
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,25 Feb 1904,4/1471,3,NRS302_333_a127_10_42918_[04]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00003
,,NRS302_333,10/42918,[8],Sydney Morning Herald - King's Counsel,,03 Jun 1909,,38,NRS302_333_a127_10_42918_[08]_00038,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00038
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,19 Feb 1907,7/3017,,NRS302_333_a127_10_42918_[07]_00004a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00004a
,,NRS302_333,10/42917A,[8],Appointment of King's Counsel 1931 - request for information,,11 Sep 1931,31/6991,,NRS302_333_a127_10_42917_[08]_00001b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[08]_00001b
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,01 Mar 1904,4/2788,4,NRS302_333_a127_10_42918_[04]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00004
,,NRS302_333,10/42918,[8],Despatch of Secretary of State for Colonies respecting power to appoint Queen's Counsel,,07 Mar 1910,,39,NRS302_333_a127_10_42918_[08]_00039,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00039
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,19 Feb 1907,7/3017,,NRS302_333_a127_10_42918_[07]_00004b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00004b
,,NRS302_333,10/42917A,[8],Appointment of King's Counsel 1931 - request for information,,11 Sep 1931,V.31/6991.AGB,2,NRS302_333_a127_10_42917_[08]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[08]_00002
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,01 Mar 1904,4/2788,5,NRS302_333_a127_10_42918_[04]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00005
,,NRS302_333,10/42918,[13],Dates of Appointments of King's Counsel,,14 Feb 1916,,21,NRS302_333_a127_10_42918_[13]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00021
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,11 Mar 1907,7/3017,5,NRS302_333_a127_10_42918_[07]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00005
,,NRS302_333,10/42917A,[8],Appointment of King's Counsel 1930 - request for information,,31 Oct 1930,30/7370,3,NRS302_333_a127_10_42917_[08]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[08]_00003
,,NRS302_333,10/42918,[4],Resolutions passed at a meeting of the Council of the Bar,,19 Feb 1904,4/2788,6,NRS302_333_a127_10_42918_[04]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00006
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,11 Mar 1907,7/3017,6,NRS302_333_a127_10_42918_[07]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00006
,,NRS302_333,10/42917A,[8],Appointment of King's Counsel 1930 - request for information,,31 Oct 1930,F.30/7370.AGB,4,NRS302_333_a127_10_42917_[08]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[08]_00004
,,NRS302_333,10/42918,[4],Receipt of letter repsecting the appointment of King's Counsel,,04 Mar 1904,4/2788,7,NRS302_333_a127_10_42918_[04]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00007
,,NRS302_333,10/42918,[8],Daily Telegraph - New King's Counsel,,02 Mar 1910,,20,NRS302_333_a127_10_42918_[08]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00020
,,NRS302_333,10/42918,[7],New Zealand Gazette,,24 Jan 1907,7/3017,7,NRS302_333_a127_10_42918_[07]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00007
,,NRS302_333,10/42918,[18],The Daily Telegraph - Too Many Silks,,,,6,NRS302_333_a127_10_42918_[18]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[18]_00006
,,NRS302_333,10/42917A,[24],Appointments of King's Counsel 1937 - request for information,,27 Sep 1937,37/4471,1,NRS302_333_a127_10_42917_[24]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[24]_00001
,,NRS302_333,10/42917A,[24],Appointments of King's Counsel 1937 - request for information,,30 Sep 1937,GAC.37/4471.AGB,2,NRS302_333_a127_10_42917_[24]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[24]_00002
,,NRS302_333,10/42917B,[47],King's Counsel in order of seniority appointed since outbreak of war,,21 Nov 1945,,13,NRS302_333_a127_10_42917_[47]_00013,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[47]_00013
,,NRS302_333,10/42918,[8],Daily Telegraph - Talking Silk,,01 Mar 1910,,21,NRS302_333_a127_10_42918_[08]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[08]_00021
,,NRS302_333,10/42918,[2],Minute to Prime Minister re Queen's Counsel appointees now becoming King's Counsel,,04 Jun 1901,1/2341,19,NRS302_333_a127_10_42918_[02]_00019,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00019
,,NRS302_333,10/42918,[12],Dates of Appointments of King's Counsel 1904-1911,,31 Mar 1913,,1,NRS302_333_a127_10_42918_[12]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[12]_00001
,,NRS302_333,10/42918,[2],Minute to Prime Minister re Queen's Counsel appointees now becoming King's Counsel,,04 Jun 1901,1/2341,20,NRS302_333_a127_10_42918_[02]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00020
,,NRS302_333,10/42917A,[18],Appointment of King's Counsel - request for information,,17 Sep 1934,34/7296,,NRS302_333_a127_10_42917_[18]_00001a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[18]_00001a
,,NRS302_333,10/42917A,[9],"Number of appointments 1926, 1927, 1928",,18 Mar 1929,F.29/855.AGB,9,NRS302_333_a127_10_42917_[09]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[09]_00009
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1925-1943,,13 Oct 1943,,1,NRS302_333_a127_10_42917_[31]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00001
,,NRS302_333,10/42918,[2],Minute to Prime Minister re Queen's Counsel appointees now becoming King's Counsel,,04 Jun 1901,1/2341,21,NRS302_333_a127_10_42918_[02]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00021
,,NRS302_333,10/42917A,[16],Appointments of King's Counsel 1922 - memo,,16 Nov 1922,,1,NRS302_333_a127_10_42917_[16]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00001
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1925-1943,,13 Oct 1943,,2,NRS302_333_a127_10_42917_[31]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00002
,,NRS302_333,10/42917A,[16],Appointments of King's Counsel 1922 -memo,,16 Nov 1922,,2,NRS302_333_a127_10_42917_[16]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00002
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941,,18 Nov 1941,,3,NRS302_333_a127_10_42917_[31]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00003
,,NRS302_333,10/42917A,[16],King's Counsel License to appear against the Crown - memo,,,,3,NRS302_333_a127_10_42917_[16]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00003
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941,,04 Nov 1941,,4,NRS302_333_a127_10_42917_[31]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00004
,,NRS302_333,10/42917A,[16],King's Counsel License to appear against the Crown - memo,,,,4,NRS302_333_a127_10_42917_[16]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00004
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941,,24 Oct 1941,,5,NRS302_333_a127_10_42917_[31]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00005
,,NRS302_333,10/42917B,[45],Goulburn Jewish Synagogue Fund,,25 Jun 1946,45/2117,1,NRS302_333_a127_10_42917_[45]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[45]_00001
,,NRS302_333,10/42918,[13],King's Counsel appointed during 1911,,28 Feb 1916,16/754,14,NRS302_333_a127_10_42918_[13]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00014
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,5,NRS302_333_a127_10_42917_[16]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00005
,,NRS302_333,10/42918,[9],Minute for the Honourable Premier,,09 Mar 1910,10/965,16,NRS302_333_a127_10_42918_[09]_00016,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[09]_00016
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941 - qualifications,,20 Jun 1941,,6,NRS302_333_a127_10_42917_[31]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00006
,,NRS302_333,10/42917B,[45],Goulburn Jewish Synagogue Fund,,25 Jun 1946,45/2117,2,NRS302_333_a127_10_42917_[45]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[45]_00002
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,6,NRS302_333_a127_10_42917_[16]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00006
,,NRS302_333,10/42918,[5],Request of dates of appointments to King's Counsel,,06 Jun 1905,5/8330,4,NRS302_333_a127_10_42918_[05]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00004
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941 - qualifications,,23 Apr 1941,,7,NRS302_333_a127_10_42917_[31]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00007
,,NRS302_333,10/42917B,[45],Goulburn Jewish Synagogue Fund,,25 Jun 1946,45/2117,3,NRS302_333_a127_10_42917_[45]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[45]_00003
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,7,NRS302_333_a127_10_42917_[16]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00007
,,NRS302_333,10/42918,[5],Request of dates of appointments to King's Counsel,,29 May 1905,5/7213,5,NRS302_333_a127_10_42918_[05]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00005
,,NRS302_333,10/42918,[9],Minute for the Honourable Premier,,22 Feb 1910,10/743,18,NRS302_333_a127_10_42918_[09]_00018,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[09]_00018
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941 - qualifications,,23 Apr 1941,,8,NRS302_333_a127_10_42917_[31]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00008
,,NRS302_333,10/42917B,[45],Goulburn Jewish Synagogue Fund,,25 Jun 1946,45/2117,4,NRS302_333_a127_10_42917_[45]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[45]_00004
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,06 Mar 1907,7/3017,9,NRS302_333_a127_10_42918_[07]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00009
,,NRS302_333,10/42917A,[16],King's Counsel License to appear against the Crown - minute,,24 Oct 1927,,8,NRS302_333_a127_10_42917_[16]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00008
,,NRS302_333,10/42918,[5],Request of dates of appointments to King's Counsel,,29 May 1905,5/7213,6,NRS302_333_a127_10_42918_[05]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00006
,,NRS302_333,10/42918,[9],Minute for the His Excellency the Governor,,22 Feb 1910,,19,NRS302_333_a127_10_42918_[09]_00019,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[09]_00019
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941 - qualifications,,23 Apr 1941,,9,NRS302_333_a127_10_42917_[31]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00009
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,06 Mar 1907,7/3017,10,NRS302_333_a127_10_42918_[07]_00010,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00010
,,NRS302_333,10/42917A,[16],Resolutions of Council of the Bar 1904-1912,,22 Apr 1920,,9,NRS302_333_a127_10_42917_[16]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00009
,,NRS302_333,10/42918,[5],Appointments of King's Counsel,,15 May 1905,5/7213,7,NRS302_333_a127_10_42918_[05]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00007
,,NRS302_333,10/42917B,[31],Appointments of King's Counsel 1941 - qualifications,,23 Apr 1941,,10,NRS302_333_a127_10_42917_[31]_00010,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[31]_00010
,,NRS302_333,10/42917A,[16],Resolutions of Council of the Bar 1904-1912,,22 Apr 1920,,10,NRS302_333_a127_10_42917_[16]_00010,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00010
,,NRS302_333,10/42918,[5],Appointments of King's Counsel,,11 May 1905,5/7213,8,NRS302_333_a127_10_42918_[05]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00008
,,NRS302_333,10/42917A,[16],Resolutions of Council of the Bar 1904-1912,,22 Apr 1920,,11,NRS302_333_a127_10_42917_[16]_00011,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00011
,,NRS302_333,10/42917A,[16],Resolutions of Council of the Bar 1904-1912,,22 Apr 1920,,12,NRS302_333_a127_10_42917_[16]_00012,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00012
,,NRS302_333,10/42918,[19],Appointment of King's Counsel,,,,28,NRS302_333_a127_10_42918_[19]_00028,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[19]_00028
,,NRS302_333,10/42917A,[16],Resolutions of Council of the Bar 1904-1912,,22 Apr 1920,,13,NRS302_333_a127_10_42917_[16]_00013,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00013
,,NRS302_333,10/42917A,[16],Resolutions of Council of the Bar 1904-1912,,22 Apr 1920,,14,NRS302_333_a127_10_42917_[16]_00014,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00014
,,NRS302_333,10/42917A,[16],King's Counsel License to appear against the Crown - memo,,,,15,NRS302_333_a127_10_42917_[16]_00015,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00015
,,NRS302_333,10/42917A,[16],King's Counsel License to appear against the Crown - memo,,,,16,NRS302_333_a127_10_42917_[16]_00016,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00016
,,NRS302_333,10/42918,[1],Note re appointments of King's Counsel in 1902,,10 Mar 1910,,21,NRS302_333_a127_10_42918_[01]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[01]_00021
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,17,NRS302_333_a127_10_42917_[16]_00017,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00017
,,NRS302_333,10/42917B,[34],Appointments of King's Counsel 1943,,06 Jul 1943,,1,NRS302_333_a127_10_42917_[34]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[34]_00001
,,NRS302_333,10/42918,[2],Commissions appointing King's Counsel,,11 Feb 1901,1/495,24,NRS302_333_a127_10_42918_[02]_00024,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00024
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,18,NRS302_333_a127_10_42917_[16]_00018,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00018
,,NRS302_333,10/42918,[19],Appointment of King's Counsel,,,,33,NRS302_333_a127_10_42918_[19]_00033,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[19]_00033
,,NRS302_333,10/42918,[11],Daily Telegraph - Wilfred Blacket,1912,28 Aug 1912,,3,NRS302_333_a127_10_42918_[11]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[11]_00003
,,NRS302_333,10/42917B,[34],Appointments of King's Counsel 1943,,06 Jul 1943,,2,NRS302_333_a127_10_42917_[34]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[34]_00002
,,NRS302_333,10/42918,[2],Commissions appointing King's Counsel,,11 Feb 1901,1/495,25,NRS302_333_a127_10_42918_[02]_00025,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00025
,,NRS302_333,10/42918,[1],List of appointments 1881-1911,,08 Mar 1911,,23,NRS302_333_a127_10_42918_[01]_00023,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[01]_00023
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,19,NRS302_333_a127_10_42917_[16]_00019,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00019
,,NRS302_333,10/42917B,[34],Appointments of King's Counsel 1943,,06 Jul 1943,,3,NRS302_333_a127_10_42917_[34]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[34]_00003
,,NRS302_333,10/42918,[1],List of appointments 1881-1911,,08 Mar 1911,,24,NRS302_333_a127_10_42918_[01]_00024,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[01]_00024
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,20,NRS302_333_a127_10_42917_[16]_00020,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00020
,,NRS302_333,10/42918,[18],List of names,,,,24,NRS302_333_a127_10_42918_[18]_00024,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[18]_00024
,,NRS302_333,10/42918,[1],List of appointments 1881-1911,,08 Mar 1911,,25,NRS302_333_a127_10_42918_[01]_00025,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[01]_00025
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,21,NRS302_333_a127_10_42917_[16]_00021,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00021
,,NRS302_333,10/42918,[15],Question answered without notice,,,19/5775,24,NRS302_333_a127_10_42918_[15]_00024,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[15]_00024
,,NRS302_333,10/42918,[1],List of appointments 1881-1911,,08 Mar 1911,,26,NRS302_333_a127_10_42918_[01]_00026,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[01]_00026
,,NRS302_333,10/42917A,[16],The Office of King's Counsel - memo,,30 Apr 1920,,22,NRS302_333_a127_10_42917_[16]_00022,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[16]_00022
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,07 Nov 1932,32/9367,1,NRS302_333_a127_10_42917_[01]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00001
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,27 Oct 1932,32/9367,,NRS302_333_a127_10_42917_[01]_00002a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00002a
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,28 Oct 1932,32/9367,,NRS302_333_a127_10_42917_[01]_00002b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00002b
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,15 Nov 1932,32/9367,3,NRS302_333_a127_10_42917_[01]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00003
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,10 Nov 1932,32/9367,4,NRS302_333_a127_10_42917_[01]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00004
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,14 Nov 1932,32/9367,5,NRS302_333_a127_10_42917_[01]_00005,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00005
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,14 Nov 1932,32/9367,6,NRS302_333_a127_10_42917_[01]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00006
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,07 Nov 1932,32/9367,7,NRS302_333_a127_10_42917_[01]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00007
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,10 Nov 1932,32/9367,8,NRS302_333_a127_10_42917_[01]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00008
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,01 Nov 1932,32/9367,9,NRS302_333_a127_10_42917_[01]_00009,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00009
Abrahams,Leonard Sydney,NRS302_333,10/42917A,[1],Leonard Sydney Abrahams,1932,17 Nov 1932,32/9367,10,NRS302_333_a127_10_42917_[01]_00010,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[01]_00010
Armstrong,John,NRS302_333,10/42918,[2],John Armstrong,1901,30 Sep 1901,,4,NRS302_333_a127_10_42918_[02]_00004,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00004
Armstrong,John,NRS302_333,10/42918,[2],John Armstrong,1901,04 Sep 1901,1/13988,,NRS302_333_a127_10_42918_[02]_00005a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00005a
Armstrong,John,NRS302_333,10/42918,[2],John Armstrong,1901,05 Sep 1901,1/13988,,NRS302_333_a127_10_42918_[02]_00005b,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00005b
Armstrong,John,NRS302_333,10/42918,[2],John Armstrong,1901,01 Jan 1901,,6,NRS302_333_a127_10_42918_[02]_00006,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00006
Armstrong,John,NRS302_333,10/42918,[2],John Armstrong,1901,01 Jan 1901,,7,NRS302_333_a127_10_42918_[02]_00007,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[02]_00007
Armstrong,John,NRS302_333,10/42918,[5],John Armstrong,1901,30 May 1905,15/8529,2,NRS302_333_a127_10_42918_[05]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00002
Armstrong,John,NRS302_333,10/42918,[7],John Armstrong,1901,04 Mar 1907,,8,NRS302_333_a127_10_42918_[07]_00008,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00008
Armstrong,John,NRS302_333,10/42918,[5],John Armstrong,1901,30 May 1905,15/8529,3,NRS302_333_a127_10_42918_[05]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00003
