Surname,FirstName,Dates,Locality,Reel,Item,Remarks,ID
LEGG,George,1 Sep 1853-22 Dec 1855,"Bondi, Campbelltown, Nowra, Shoalhaven, Wollongong",3075,[2/1552.2],,74
LEWIS,Mortimer William,19 Jul 1830-31 Dec 1834,"Darling Harbour, Millers Point, Mudgee, Rushcutters Bay, Surry Hills",3075,[2/1553.1],,75
LEWIS,Mortimer William (Jnr),24 July 1844,,3075,[2/1553.2],,76
LINDO,Andre Pacifico,17 Aug 1850-1 Dec 1855,"Brisbane, Ipswich",3075,[2/1553.3],,77
MACCABE,Francis P,6 Dec 1841-Dec 1848,"Berrima, Braidwood, Cooma, Gladstone, Gundagai, Lachlan River, Lower Darling, Port Curtis",3075,[2/1554.1],,78
MACCABE,Francis P,15 Jan 1849-31 Dec 1852,"Berrima, Braidwood, Cooma, Gladstone, Gundagai, Lachlan River, Lower Darling, Port Curtis",3076,[2/1554.2],,79
MACCABE,Francis P,"3 Jan 1853, 31 Dec 1855","Berrima, Braidwood, Cooma, Gladstone, Gundagai, Lachlan River, Lower Darling, Port Curtis",3076,[2/1555.1],,80
MACKAY,T,24 Oct 1854-Dec 1855,"Newcastle, Singleton",3077,[2/1555.2],,81
MANN,John F,15 Apr 1848-1 Jan 1853,"Bungonia, Goulburn, Queanbeyan, Shoalhaven, Yass",3077,[2/1556],,83
MANN,John F,10 Jan 1853-24 Dec 1855,"Bungonia, Goulburn, Queanbeyan, Shoalhaven, Yass",3078,[2/1557],,84
MATTHEWS,Felton,21 Jan 1830-26 Dec 1832,"Kurrajong, Pennant Hills, Windsor",3078,[2/1558A],,85
MATTHEWS,Felton,14 Jan 1833-28 Dec 1833,"Kurrajong, Pennant Hills, Windsor",3079,[2/1558B],,86
MATTHEWS,Felton,6 Jan 1834-28 Jul 1837,"Kurrajong, Pennant Hills, Windsor",3079,[2/1559],,87
MCBRIEN,James,"2 Apr 1823, 4 Jan 1825","Bathurst, Parramatta",3077,[2/1555.3],,82
MEEHAN,James,22 Aug 1823-21 Aug 1824,Macquarie Fields,3079,[2/1560.1],,88
MITCHELL,Roderick,18 Oct 1841- 1 Sep 1843,"CooksRiver, Patrick Plains",3079,[2/1560.2],,89
MOFFATT,William P,28 Feb 1854-26 Jun 1854,Sydney,3079,[2/1560.3],,90
MORIARTY,Edward O,12 Apr 1849-11 Nov 1853,"Drayton, Warwick",3080,[2/1560.4],,91
NEILL,J L,21 Jun 1855-31 Nov 1855,Sydney,3080,[2/1561.1],,92
NICHOLSON,John,2 Jan 1830-25 Jul 1831,"Parramatta, Sydney, Bathurst, Mt Clarence",3080,[2/1561.2],,93
NICHOLSON,John,14 Feb 1832-22 Dec 1834,"Parramatta, Sydney, Bathurst, Mt Clarence",3080,[2/1562],,94
NICHOLSON,John,5 Jan 1835-20 Apr 1837,"Newcastle, Bathurst, Mudgee",3081,[2/1563],,95
NICHOLSON,John,31 Mar 1848-6 Nov 1851,Bathurst,3081,[2/1564],,96
NICHOLSON,John,3 Jan 1852-1 Oct 1853,"Mt Clarence, Mudgee, Newcastle, Orange, Wellington",3082,[2/1565A],,97
NICHOLSON,John,14 Jan 1854-31 Dec 1855,"Mt Clarence, Mudgee, Newcastle, Orange, Wellington",3082,[2/1565B],,98
NUTT,Thomas Henry,12 Jul 1839-6 Jan 1852,Yarra Yarra,3082,[2/1566.1],,99
OGILVIE,Peter Grant,26 Feb 1829-5 Oct 1836,"Boro, Cullen Bullen, Maitland, Manning River, Mudgee, North Shore (Sydney), Wellington",3082,[2/1566.2],,100
OGILVIE,Peter Grant,31 Jan 1837-10 May 1841,"Boro, Cullen Bullen, Maitland, Manning River, Mudgee, North Shore (Sydney), Wellington",3083,[2/1567],,101
PARKINSON,Sam,20 Nov 1847-31 Dec 1855,"Bega, Bombala, Cooma, Deniliquin, Gundagai",3083,[2/1568.1],,102
